symbol,mode,status,top1,score1,top2,score2,margin,final_norm,flags,timestamp
A,ddim,SUCCESS,A,1.0000,E,0.2219,0.7781,1.000000,,20260104_160906
B,ddim,WARN,B,1.0000,G,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_160906
C,ddim,WARN,C,1.0000,D,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_160906
D,ddim,WARN,C,1.0000,D,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_160906
E,ddim,SUCCESS,E,1.0000,K,0.2383,0.7617,1.000000,,20260104_160906
F,ddim,SUCCESS,F,1.0000,Y,0.2237,0.7763,1.000000,,20260104_160906
G,ddim,WARN,B,1.0000,G,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_160906
H,ddim,SUCCESS,H,1.0000,W,0.2067,0.7933,1.000000,,20260104_160906
I,ddim,SUCCESS,I,1.0000,T,0.1441,0.8559,1.000000,,20260104_160906
J,ddim,SUCCESS,J,1.0000,P,0.3806,0.6194,1.000000,,20260104_160906
K,ddim,WARN,K,1.0000,N,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_160906
L,ddim,SUCCESS,L,1.0000,M,0.2669,0.7331,1.000000,,20260104_160906
M,ddim,SUCCESS,M,1.0000,L,0.2669,0.7331,1.000000,,20260104_160906
N,ddim,WARN,K,1.0000,N,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_160906
O,ddim,SUCCESS,O,1.0000,P,0.1063,0.8937,1.000000,,20260104_160906
P,ddim,SUCCESS,P,1.0000,J,0.3806,0.6194,1.000000,,20260104_160906
Q,ddim,SUCCESS,Q,1.0000,P,0.2787,0.7213,1.000000,,20260104_160906
R,ddim,SUCCESS,R,1.0000,W,0.1890,0.8110,1.000000,,20260104_160906
S,ddim,SUCCESS,S,1.0000,H,0.1914,0.8086,1.000000,,20260104_160906
T,ddim,WARN,T,1.0000,V,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_160906
U,ddim,SUCCESS,U,1.0000,Y,0.1722,0.8278,1.000000,,20260104_160906
V,ddim,WARN,T,1.0000,V,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_160906
W,ddim,WARN,W,1.0000,Z,1.0000,0.0000,1.000000,P2_LOW_MARGIN,20260104_160906
X,ddim,WARN,T,1.0000,V,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_160906
Y,ddim,SUCCESS,Y,1.0000,F,0.2237,0.7763,1.000000,,20260104_160906
Z,ddim,WARN,W,1.0000,Z,1.0000,0.0000,1.000000,P1_INCORRECT_SYMBOL;P2_LOW_MARGIN,20260104_160906
