Phase,Trial,CharID,Target,Recalled,Score,Success,MemorySize
P1-4,1,0x4f5d,佝,佝,1.0000,True,1000
P1-4,2,0x4f5d,佝,佝,1.0000,True,1000
P1-4,3,0x4f5d,佝,佝,1.0000,True,1000
P1-4,4,0x4f5d,佝,佝,1.0000,True,1000
P1-4,5,0x4f5d,佝,佝,1.0000,True,1000
P1-4,6,0x4f5d,佝,佝,1.0000,True,1000
P1-4,7,0x4f5d,佝,佝,1.0000,True,1000
P1-4,8,0x4f5d,佝,佝,1.0000,True,1000
P1-4,9,0x4f5d,佝,佝,1.0000,True,1000
P1-4,0,0x4f5e,佞,佞,1.0000,True,1000
P1-4,1,0x4f5e,佞,佞,1.0000,True,1000
P1-4,2,0x4f5e,佞,佞,1.0000,True,1000
P1-4,3,0x4f5e,佞,佞,1.0000,True,1000
P1-4,4,0x4f5e,佞,佞,1.0000,True,1000
P1-4,5,0x4f5e,佞,佞,1.0000,True,1000
P1-4,6,0x4f5e,佞,佞,1.0000,True,1000
P1-4,7,0x4f5e,佞,佞,1.0000,True,1000
P1-4,8,0x4f5e,佞,佞,1.0000,True,1000
P1-4,9,0x4f5e,佞,佞,1.0000,True,1000
P1-4,0,0x4f5f,佟,佟,1.0000,True,1000
P1-4,1,0x4f5f,佟,佟,1.0000,True,1000
P1-4,2,0x4f5f,佟,佟,1.0000,True,1000
P1-4,3,0x4f5f,佟,佟,1.0000,True,1000
P1-4,4,0x4f5f,佟,佟,1.0000,True,1000
P1-4,5,0x4f5f,佟,佟,1.0000,True,1000
P1-4,6,0x4f5f,佟,佟,1.0000,True,1000
P1-4,7,0x4f5f,佟,佟,1.0000,True,1000
